timestamp,emg_ch1,emg_ch2,emg_ch3,emg_ch4,emg_ch5,emg_ch6,emg_ch7,emg_ch8,unity_val0,unity_val1,unity_val2,unity_val3,unity_val4,unity_val5,unity_val6,unity_val7,unity_val8,unity_val9,unity_val10,unity_val11,unity_val12,unity_val13,unity_val14,unity_val15,unity_val16,unity_val17,unity_val18,unity_val19,unity_val20,unity_val21,unity_val22,unity_val23,unity_val24,unity_val25,unity_val26,unity_val27,unity_val28,unity_val29,unity_val30,unity_val31,unity_val32,unity_val33,unity_val34,unity_val35,unity_val36,unity_val37,unity_val38,unity_val39,unity_val40,unity_val41,unity_val42,unity_val43,unity_val44,unity_val45,unity_val46,unity_val47,unity_val48,unity_val49,unity_val50,unity_val51,unity_val52,unity_val53,unity_val54,unity_val55,unity_val56,unity_val57,unity_val58,unity_val59,unity_val60,unity_val61,unity_val62,unity_val63,unity_val64,unity_val65,unity_val66,unity_val67,unity_val68,unity_val69,unity_val70,unity_val71,unity_val72,unity_val73,unity_val74,unity_val75,unity_val76,unity_val77
1769622077.3910718,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.1359,nan,nan,12.8608,nan,nan,6.8162,nan,nan,nan,nan,nan,nan,nan,nan,45.3545,nan,nan,28.3755,nan,nan,6.2937,nan,nan,nan,nan,nan,nan,nan,nan,25.9569,nan,nan,11.8958,nan,nan,6.3564,nan,nan,nan,nan,nan,nan,nan,nan,17.4473,nan,nan,7.5526,nan,nan,8.7434,nan,nan,nan,nan,nan,41.4637,nan,nan,23.7017,nan,nan,nan,nan,nan,nan,nan,nan
1769622077.4944906,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.658,nan,nan,12.0421,nan,nan,6.759,nan,nan,nan,nan,nan,nan,nan,nan,51.129,nan,nan,32.0791,nan,nan,6.1985,nan,nan,nan,nan,nan,nan,nan,nan,29.5558,nan,nan,13.3182,nan,nan,6.05,nan,nan,nan,nan,nan,nan,nan,nan,17.4691,nan,nan,8.3843,nan,nan,8.7915,nan,nan,nan,nan,nan,41.3926,nan,nan,24.0325,nan,nan,nan,nan,nan,nan,nan,nan
1769622077.588928,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19.1996,nan,nan,11.3607,nan,nan,6.696,nan,nan,nan,nan,nan,nan,nan,nan,55.967,nan,nan,34.941,nan,nan,6.1359,nan,nan,nan,nan,nan,nan,nan,nan,32.6176,nan,nan,13.8637,nan,nan,6.1585,nan,nan,nan,nan,nan,nan,nan,nan,17.5518,nan,nan,7.8505,nan,nan,8.2027,nan,nan,nan,nan,nan,41.3604,nan,nan,23.4508,nan,nan,nan,nan,nan,nan,nan,nan
1769622077.6734424,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19.5249,nan,nan,10.768,nan,nan,7.0407,nan,nan,nan,nan,nan,nan,nan,nan,59.0398,nan,nan,36.3766,nan,nan,5.9842,nan,nan,nan,nan,nan,nan,nan,nan,34.7055,nan,nan,14.4833,nan,nan,5.5146,nan,nan,nan,nan,nan,nan,nan,nan,18.2711,nan,nan,6.5701,nan,nan,8.5454,nan,nan,nan,nan,nan,41.4604,nan,nan,22.7598,nan,nan,nan,nan,nan,nan,nan,nan
1769622077.7737796,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.922,nan,nan,10.5202,nan,nan,7.4947,nan,nan,nan,nan,nan,nan,nan,nan,59.9196,nan,nan,35.8688,nan,nan,6.4376,nan,nan,nan,nan,nan,nan,nan,nan,34.8865,nan,nan,14.2344,nan,nan,5.2033,nan,nan,nan,nan,nan,nan,nan,nan,19.8118,nan,nan,6.9014,nan,nan,8.2669,nan,nan,nan,nan,nan,41.4568,nan,nan,21.9837,nan,nan,nan,nan,nan,nan,nan,nan
1769622077.8642268,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.6025,nan,nan,9.7748,nan,nan,6.8256,nan,nan,nan,nan,nan,nan,nan,nan,52.1345,nan,nan,31.1982,nan,nan,5.8439,nan,nan,nan,nan,nan,nan,nan,nan,31.0129,nan,nan,12.0642,nan,nan,4.5364,nan,nan,nan,nan,nan,nan,nan,nan,18.4509,nan,nan,6.4433,nan,nan,8.1433,nan,nan,nan,nan,nan,41.9247,nan,nan,21.6521,nan,nan,nan,nan,nan,nan,nan,nan
1769622077.9535353,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.2352,nan,nan,8.7424,nan,nan,6.4316,nan,nan,nan,nan,nan,nan,nan,nan,42.8726,nan,nan,25.3739,nan,nan,4.7341,nan,nan,nan,nan,nan,nan,nan,nan,27.0468,nan,nan,10.6907,nan,nan,3.923,nan,nan,nan,nan,nan,nan,nan,nan,17.2984,nan,nan,6.1651,nan,nan,7.9289,nan,nan,nan,nan,nan,42.4869,nan,nan,23.2208,nan,nan,nan,nan,nan,nan,nan,nan
1769622078.0644348,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.4528,nan,nan,8.13,nan,nan,6.2886,nan,nan,nan,nan,nan,nan,nan,nan,34.8369,nan,nan,20.9627,nan,nan,3.9543,nan,nan,nan,nan,nan,nan,nan,nan,24.3683,nan,nan,9.9421,nan,nan,3.6371,nan,nan,nan,nan,nan,nan,nan,nan,16.1321,nan,nan,5.9195,nan,nan,7.3103,nan,nan,nan,nan,nan,42.8103,nan,nan,23.371,nan,nan,nan,nan,nan,nan,nan,nan
1769622078.138578,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.8312,nan,nan,7.8597,nan,nan,6.289,nan,nan,nan,nan,nan,nan,nan,nan,30.4511,nan,nan,17.8045,nan,nan,3.6221,nan,nan,nan,nan,nan,nan,nan,nan,26.8526,nan,nan,12.8978,nan,nan,4.0522,nan,nan,nan,nan,nan,nan,nan,nan,17.2098,nan,nan,10.0692,nan,nan,6.8306,nan,nan,nan,nan,nan,43.0538,nan,nan,23.5731,nan,nan,nan,nan,nan,nan,nan,nan
1769622078.2451153,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0613,nan,nan,7.8721,nan,nan,6.0789,nan,nan,nan,nan,nan,nan,nan,nan,28.4829,nan,nan,15.6117,nan,nan,3.1941,nan,nan,nan,nan,nan,nan,nan,nan,29.7822,nan,nan,20.3647,nan,nan,4.1327,nan,nan,nan,nan,nan,nan,nan,nan,18.5882,nan,nan,14.7685,nan,nan,6.4146,nan,nan,nan,nan,nan,43.5193,nan,nan,23.7561,nan,nan,nan,nan,nan,nan,nan,nan
